D21.2,"U lành mô liên kết và mô mềm khác của chi dưới, bao gồm hông",Mã nhánh,D21,U lành tính,U tân sinh,U lành khác của mô liên kết và mô mềm khác,0.0
D21.3,U lành mô liên kết và mô mềm khác của lồng ngực,Mã nhánh,D21,U lành tính,U tân sinh,U lành khác của mô liên kết và mô mềm khác,0.0
D21.4,U lành mô liên kết và mô mềm khác của bụng,Mã nhánh,D21,U lành tính,U tân sinh,U lành khác của mô liên kết và mô mềm khác,0.0
D21.5,U lành mô liên kết và mô mềm khác của vùng chậu,Mã nhánh,D21,U lành tính,U tân sinh,U lành khác của mô liên kết và mô mềm khác,0.0
D21.6,"U lành mô liên kết và mô mềm khác của thân mình, không đặc hiệu",Mã nhánh,D21,U lành tính,U tân sinh,U lành khác của mô liên kết và mô mềm khác,0.0
D21.9,"U lành mô liên kết và mô mềm khác, không đặc hiệu",Mã nhánh,D21,U lành tính,U tân sinh,U lành khác của mô liên kết và mô mềm khác,0.0
D22,Nốt ruồi,Mã,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.0,Nốt ruồi của môi,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.1,Nốt ruồi của khoé mắt bao gồm mi mắt,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.2,Nốt ruồi của tai và ống tai ngoài,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.3,Nốt ruồi của phần khác và phần không xác định của mặt,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.4,Nốt ruồi của da đầu và cổ,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.5,Nốt ruồi của thân mình,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.6,Nốt ruồi của chi trên bao gồm vai,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.7,Nốt ruồi của chi dưới bao gồm hông,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D22.9,Nốt ruồi không có gì đặc hiệu,Mã nhánh,D22,U lành tính,U tân sinh,Nốt ruồi,0.0
D23,U lành khác của da,Mã,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.0,U lành da của môi,Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.1,U lành da của mi mắt kể cả góc mắt,Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.2,U lành da tai và ống tai ngoài,Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.3,U lành ở da các phần khác và không xác định của mặt,Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.4,U lành da đầu và cổ,Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.5,U lành da thân mình,Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.6,"U lành da chi trên, bao gồm vai",Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.7,U lành da chi dưới bao gồm hông,Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D23.9,"U lành của da, không đặc hiệu",Mã nhánh,D23,U lành tính,U tân sinh,U lành khác của da,1.0
D24,U lành vú,Mã,D24,U lành tính,U tân sinh,U lành vú,0.0
D25,U cơ trơn tử cung,Mã,D25,U lành tính,U tân sinh,U cơ trơn tử cung,1.0
D25.0,U cơ trơn dưới niêm mạc tử cung,Mã nhánh,D25,U lành tính,U tân sinh,U cơ trơn tử cung,1.0
D25.1,U cơ trơn trong vách tử cung,Mã nhánh,D25,U lành tính,U tân sinh,U cơ trơn tử cung,1.0
D25.2,U cơ trơn dưới thanh mạc tử cung,Mã nhánh,D25,U lành tính,U tân sinh,U cơ trơn tử cung,1.0
D25.9,"U cơ trơn tử cung, không đặc hiệu",Mã nhánh,D25,U lành tính,U tân sinh,U cơ trơn tử cung,1.0
D26,U lành khác của tử cung,Mã,D26,U lành tính,U tân sinh,U lành khác của tử cung,0.0
D26.0,U lành cổ tử cung,Mã nhánh,D26,U lành tính,U tân sinh,U lành khác của tử cung,0.0
D26.1,U lành thân tử cung,Mã nhánh,D26,U lành tính,U tân sinh,U lành khác của tử cung,0.0
D26.7,U lành phần khác của tử cung,Mã nhánh,D26,U lành tính,U tân sinh,U lành khác của tử cung,0.0
D26.9,"U lành tử cung, không đặc hiệu",Mã nhánh,D26,U lành tính,U tân sinh,U lành khác của tử cung,0.0
D27,U lành buồng trứng,Mã,D27,U lành tính,U tân sinh,U lành buồng trứng,0.0
D28,U lành của cơ quan sinh dục khác và không xác định,Mã,D28,U lành tính,U tân sinh,U lành của cơ quan sinh dục khác và không xác định,0.0
D28.0,U lành âm hộ,Mã nhánh,D28,U lành tính,U tân sinh,U lành của cơ quan sinh dục khác và không xác định,0.0
D28.1,U lành âm đạo,Mã nhánh,D28,U lành tính,U tân sinh,U lành của cơ quan sinh dục khác và không xác định,0.0
D28.2,U lành vòi tử cung và dây chằng,Mã nhánh,D28,U lành tính,U tân sinh,U lành của cơ quan sinh dục khác và không xác định,0.0
D28.7,U lành cơ quan sinh dục nữ xác định khác,Mã nhánh,D28,U lành tính,U tân sinh,U lành của cơ quan sinh dục khác và không xác định,0.0
D28.9,"U lành cơ quan sinh dục nữ, không đặc hiệu",Mã nhánh,D28,U lành tính,U tân sinh,U lành của cơ quan sinh dục khác và không xác định,0.0
D29,U lành của cơ quan sinh dục nam,Mã,D29,U lành tính,U tân sinh,U lành của cơ quan sinh dục nam,0.0
D29.0,U lành của Dương vật,Mã nhánh,D29,U lành tính,U tân sinh,U lành của cơ quan sinh dục nam,0.0
D29.1,U lành của Tuyến tiền liệt,Mã nhánh,D29,U lành tính,U tân sinh,U lành của cơ quan sinh dục nam,0.0
D29.2,U lành của Tinh hoàn,Mã nhánh,D29,U lành tính,U tân sinh,U lành của cơ quan sinh dục nam,0.0
D29.3,U lành của Mào tinh hoàn,Mã nhánh,D29,U lành tính,U tân sinh,U lành của cơ quan sinh dục nam,0.0
D29.4,U lành của bìu,Mã nhánh,D29,U lành tính,U tân sinh,U lành của cơ quan sinh dục nam,0.0
D29.7,U lành của Cơ quan sinh dục nam khác,Mã nhánh,D29,U lành tính,U tân sinh,U lành của cơ quan sinh dục nam,0.0
D29.9,"U lành của Cơ quan sinh dục nam, không đặc hiệu",Mã nhánh,D29,U lành tính,U tân sinh,U lành của cơ quan sinh dục nam,0.0
D30,U lành của cơ quan tiết niệu,Mã,D30,U lành tính,U tân sinh,U lành của cơ quan tiết niệu,0.0
D30.0,U lành của Thận,Mã nhánh,D30,U lành tính,U tân sinh,U lành của cơ quan tiết niệu,0.0
D30.1,U lành của bể thận,Mã nhánh,D30,U lành tính,U tân sinh,U lành của cơ quan tiết niệu,0.0
D30.2,U lành của Niệu quản,Mã nhánh,D30,U lành tính,U tân sinh,U lành của cơ quan tiết niệu,0.0
D30.3,U lành của Bàng quang,Mã nhánh,D30,U lành tính,U tân sinh,U lành của cơ quan tiết niệu,0.0
D30.4,U lành của Niệu đạo,Mã nhánh,D30,U lành tính,U tân sinh,U lành của cơ quan tiết niệu,0.0
D30.7,U lành của Cơ quan tiết niệu khác,Mã nhánh,D30,U lành tính,U tân sinh,U lành của cơ quan tiết niệu,0.0
D30.9,U lành của Cơ quan tiết niệu không đặc hiệu,Mã nhánh,D30,U lành tính,U tân sinh,U lành của cơ quan tiết niệu,0.0
D31,U lành của mắt và phần phụ,Mã,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D31.0,U lành kết mạc,Mã nhánh,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D31.1,U lành giác mạc,Mã nhánh,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D31.2,U lành võng mạc,Mã nhánh,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D31.3,U lành màng mạch mắt,Mã nhánh,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D31.4,U lành thể mi,Mã nhánh,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D31.5,U lành tuyến và ống lệ,Mã nhánh,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D31.6,U lành hốc mắt không đặc hiệu,Mã nhánh,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D31.9,"U lành của mắt, không đặc hiệu",Mã nhánh,D31,U lành tính,U tân sinh,U lành của mắt và phần phụ,0.0
D32,U lành của màng não,Mã,D32,U lành tính,U tân sinh,U lành của màng não,0.0
D32.0,U lành của màng não tại não,Mã nhánh,D32,U lành tính,U tân sinh,U lành của màng não,0.0
D32.1,U lành của màng não tuỷ sống,Mã nhánh,D32,U lành tính,U tân sinh,U lành của màng não,0.0
D32.9,"U lành màng não, không đặc hiệu",Mã nhánh,D32,U lành tính,U tân sinh,U lành của màng não,0.0
D33,U lành của não và các phần khác của hệ thần kinh trung ương,Mã,D33,U lành tính,U tân sinh,U lành của não và các phần khác của hệ thần kinh trung ương,0.0
D33.0,U lành của bán cầu đại não trên lều,Mã nhánh,D33,U lành tính,U tân sinh,U lành của não và các phần khác của hệ thần kinh trung ương,0.0
D33.1,"U lành của não, dưới lều",Mã nhánh,D33,U lành tính,U tân sinh,U lành của não và các phần khác của hệ thần kinh trung ương,0.0
D33.2,"U lành của não, không đặc hiệu",Mã nhánh,D33,U lành tính,U tân sinh,U lành của não và các phần khác của hệ thần kinh trung ương,0.0
D33.3,U lành thần kinh sọ não,Mã nhánh,D33,U lành tính,U tân sinh,U lành của não và các phần khác của hệ thần kinh trung ương,0.0
D33.4,U lành của tuỷ sống,Mã nhánh,D33,U lành tính,U tân sinh,U lành của não và các phần khác của hệ thần kinh trung ương,0.0
D33.7,U lành của phần xác định khác của hệ thần kinh trung ương,Mã nhánh,D33,U lành tính,U tân sinh,U lành của não và các phần khác của hệ thần kinh trung ương,0.0
D33.9,"U lành của hệ thần kinh trung ương, không đặc hiệu",Mã nhánh,D33,U lành tính,U tân sinh,U lành của não và các phần khác của hệ thần kinh trung ương,0.0
D34,U lành của tuyến giáp,Mã,D34,U lành tính,U tân sinh,U lành của tuyến giáp,0.0
D35,U lành của tuyến nội tiết khác và không xác định,Mã,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.0,U lành tuyến thượng thận,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.1,U lành tuyến cận giáp,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.2,U lành tuyến yên,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.3,U lành ống sọ hầu,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.4,U lành tuyến tùng,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.5,U lành thể cảnh,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.6,U lành thể động mạch chủ và thể cận hạch khác,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.7,U lành tuyến nội tiết xác định khác,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.8,U lành liên quan nhiều tuyến nội tiết,Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D35.9,"U lành của tuyến nội tiết, không đặc hiệu",Mã nhánh,D35,U lành tính,U tân sinh,U lành của tuyến nội tiết khác và không xác định,0.0
D36,U lành ở vị trí khác và không xác định,Mã,D36,U lành tính,U tân sinh,U lành ở vị trí khác và không xác định,0.0
D36.0,U lành hạch lympho,Mã nhánh,D36,U lành tính,U tân sinh,U lành ở vị trí khác và không xác định,0.0
D36.1,U lành thần kinh ngoại vi và thần kinh tự chủ,Mã nhánh,D36,U lành tính,U tân sinh,U lành ở vị trí khác và không xác định,0.0
D36.7,U lành vị trí xác định khác,Mã nhánh,D36,U lành tính,U tân sinh,U lành ở vị trí khác và không xác định,0.0
D36.9,U lành của vị trí không xác định,Mã nhánh,D36,U lành tính,U tân sinh,U lành ở vị trí khác và không xác định,0.0
D37,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,Mã,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.0,"U tân sinh chưa rõ tính chất của môi, xoang miệng và họng",Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.1,U tân sinh chưa rõ tính chất của dạ dày,Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.2,U tân sinh chưa rõ tính chất của ruột non,Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.3,U tân sinh chưa rõ tính chất của ruột thừa,Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.4,U tân sinh chưa rõ tính chất của đại tràng,Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.5,U tân sinh chưa rõ tính chất của trực tràng,Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.6,"U tân sinh chưa rõ tính chất của gan, túi mật và ống dẫn mật",Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.7,U tân sinh chưa rõ tính chất của cơ quan tiêu hoá khác,Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D37.9,U tân sinh chưa rõ tính chất của cơ quan tiêu hoá không đặc hiệu,Mã nhánh,D37,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá,1.0
D38,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",Mã,D38,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",0.0
D38.0,U tân sinh chưa rõ tính chất của thanh quản,Mã nhánh,D38,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",0.0
D38.1,"U tân sinh chưa rõ tính chất của khí quản, phế quản và phổi",Mã nhánh,D38,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",0.0
D38.2,U tân sinh chưa rõ tính chất màng phổi,Mã nhánh,D38,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",0.0
D38.3,U tân sinh chưa rõ tính chất của trung thất,Mã nhánh,D38,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",0.0
D38.4,U tân sinh chưa rõ tính chất của tuyến ức,Mã nhánh,D38,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",0.0
D38.5,U tân sinh chưa rõ tính chất của cơ quan hô hấp khác,Mã nhánh,D38,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",0.0
D38.6,U tân sinh chưa rõ tính chất của cơ quan hô hấp không đặc hiệu,Mã nhánh,D38,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,"U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực",0.0
D39,U không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ,Mã,D39,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ,0.0
D39.0,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tử cung,Mã nhánh,D39,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ,0.0
D39.1,U tân sinh không chắc chắn hoặc chưa rõ tính chất của buồng trứng,Mã nhánh,D39,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ,0.0
D39.2,U tân sinh không chắc chắn hoặc chưa rõ tính chất của nhau (rau) thai,Mã nhánh,D39,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ,0.0
D39.7,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan sinh dục nữ khác,Mã nhánh,D39,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ,0.0
D39.9,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan sinh dục nữ không đặc hiệu,Mã nhánh,D39,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ,0.0
D40,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan sinh dục nam,Mã,D40,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan sinh dục nam,0.0
D40.0,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Tiền liệt tuyến,Mã nhánh,D40,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan sinh dục nam,0.0
D40.1,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Tinh hoàn,Mã nhánh,D40,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan sinh dục nam,0.0
D40.7,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Các cơ quan sinh dục nam khác,Mã nhánh,D40,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan sinh dục nam,0.0
D40.9,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Cơ quan sinh dục nam không đặc hiệu,Mã nhánh,D40,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan sinh dục nam,0.0
D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,Mã,D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,0.0
D41.0,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Thận,Mã nhánh,D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,0.0
D41.1,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Bể thận,Mã nhánh,D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,0.0
D41.2,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Niệu quản,Mã nhánh,D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,0.0
D41.3,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Niệu đạo,Mã nhánh,D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,0.0
D41.4,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Bàng quang,Mã nhánh,D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,0.0
D41.7,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Cơ quan tiết niệu khác,Mã nhánh,D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,0.0
D41.9,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Cơ quan tiết niệu không đặc hiệu,Mã nhánh,D41,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của cơ quan tiết niệu,0.0
D42,U tân sinh không chắc chắn hoặc chưa rõ tính chất của màng não,Mã,D42,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của màng não,0.0
D42.0,U tân sinh không chắc chắn hoặc chưa rõ tính chất của màng não thuộc não,Mã nhánh,D42,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của màng não,0.0
D42.1,U tân sinh không chắc chắn hoặc chưa rõ tính chất của màng não thuộc tuỷ sống,Mã nhánh,D42,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của màng não,0.0
D42.9,"U tân sinh không chắc chắn hoặc chưa rõ tính chất của màng não, không đặc hiệu",Mã nhánh,D42,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của màng não,0.0
D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,Mã,D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,1.0
D43.0,"U tân sinh không chắc chắn hoặc chưa rõ tính chất của Não, trên lều não",Mã nhánh,D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,1.0
D43.1,"U tân sinh không chắc chắn hoặc chưa rõ tính chất của Não, dưới lều não",Mã nhánh,D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,1.0
D43.2,"U tân sinh không chắc chắn hoặc chưa rõ tính chất của Não, không đặc hiệu",Mã nhánh,D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,1.0
D43.3,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Thần kinh sọ,Mã nhánh,D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,1.0
D43.4,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuỷ sống,Mã nhánh,D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,1.0
D43.7,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Phần khác của hệ thần kinh trung ương,Mã nhánh,D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,1.0
D43.9,"U tân sinh không chắc chắn hoặc chưa rõ tính chất của Hệ thần kinh trung ương, không đặc hiệu",Mã nhánh,D43,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của não và hệ thần kinh trung ương,1.0
D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,Mã,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
D44.0,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Tuyến giáp,Mã nhánh,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
D44.1,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Tuyến thượng thận,Mã nhánh,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
D44.2,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Tuyến cận giáp,Mã nhánh,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
D44.3,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Tuyến yên,Mã nhánh,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
D44.4,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Ống sọ- hầu,Mã nhánh,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
D44.5,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Tuyến tùng,Mã nhánh,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
D44.6,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Thể cảnh,Mã nhánh,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
D44.7,U tân sinh không chắc chắn hoặc chưa rõ tính chất của Thể động mạch chủ và thể cận hạch khác,Mã nhánh,D44,U tân sinh không chắc chắn hoặc chưa rõ tính chất,U tân sinh,U tân sinh không chắc chắn hoặc chưa rõ tính chất của tuyến nội tiết,0.0
